source;target;pmid
A02.835.232.087.090.700;A02.835.232.087.090;34959005
A02.835.232.087.090.700;A02.835.232.087.090.700;34959005
A01.923.600;A01;34872538
A01.923.600;A01.923;34872538
A01.923.600;A01.923.600;34872538
A02.835.232.834.717;A02;34872538
A02.835.232.834.717;A02.835;34872538
A02.835.232.834.717;A02.835.232;34872538
A02.835.232.834.717;A02.835.232.834;34872538
A02.835.232.834.717;A02.835.232.834.717;34872538
A02.835.232.087.090.700;A02;34779422
A02.835.232.087.090.700;A02.835;34779422
A02.835.232.087.090.700;A02.835.232;34779422
A02.835.232.087.090.700;A02.835.232.087;34779422
A02.835.232.087.090.700;A02.835.232.087.090;34779422
A02.835.232.087.090.700;A02.835.232.087.090.700;34779422
A02.835.232.087.090.850;A02;34779422
A02.835.232.087.090.850;A02.835;34779422
A02.835.232.087.090.850;A02.835.232;34779422
A02.835.232.087.090.850;A02.835.232.087;34779422
A02.835.232.087.090.850;A02.835.232.087.090;34779422
A02.835.232.087.090.850;A02.835.232.087.090.850;34779422
A02.835.232.087.090.850;A02;34764115
A02.835.232.087.090.850;A02.835;34764115
A02.835.232.087.090.850;A02.835.232;34764115
A02.835.232.087.090.850;A02.835.232.087;34764115
A02.835.232.087.090.850;A02.835.232.087.090;34764115
A02.835.232.087.090.850;A02.835.232.087.090.850;34764115
A11.284.180.165;A11;34761465
A11.284.180.165;A11.284;34761465
A11.284.180.165;A11.284.180;34761465
A11.284.180.165;A11.284.180.165;34761465
A11.329.830;A11;34761465
A11.329.830;A11.329;34761465
A11.329.830;A11.329.830;34761465
A11.500;A11;34742488
A11.500;A11.500;34742488
A11.251.210.190;A11;34731453
A11.251.210.190;A11.251;34731453
A11.251.210.190;A11.251.210;34731453
A11.251.210.190;A11.251.210.190;34731453
A11.251.860.180;A11;34731453
A11.251.860.180;A11.251;34731453
A11.251.860.180;A11.251.860;34731453
A11.251.860.180;A11.251.860.180;34731453
A02.835.232.834.151;A02;34731109
A02.835.232.834.151;A02.835;34731109
A02.835.232.834.151;A02.835.232;34731109
A02.835.232.834.151;A02.835.232.834;34731109
A02.835.232.834.151;A02.835.232.834.151;34731109
A02.835.232;A02;34620029
A02.835.232;A02.835;34620029
A02.835.232;A02.835.232;34620029
A10.165.265;A10;34620029
A10.165.265;A10.165;34620029
A10.165.265;A10.165.265;34620029
A11.251.210.190;A11;34620029
A11.251.210.190;A11.251;34620029
A11.251.210.190;A11.251.210;34620029
A11.251.210.190;A11.251.210.190;34620029
A11.251.860.180;A11;34620029
A11.251.860.180;A11.251;34620029
A11.251.860.180;A11.251.860;34620029
A11.251.860.180;A11.251.860.180;34620029
A04.411;A04;34618641
A04.411;A04.411;34618641
A11.251.210.190;A11;34556636
A11.251.210.190;A11.251;34556636
A11.251.210.190;A11.251.210;34556636
A11.251.210.190;A11.251.210.190;34556636
A11.251.860.180;A11;34556636
A11.251.860.180;A11.251;34556636
A11.251.860.180;A11.251.860;34556636
A11.251.860.180;A11.251.860.180;34556636
A11.500;A11;34556636
A11.500;A11.500;34556636
A11.251.210.172.875;A11;34556636
A11.251.210.172.875;A11.251;34556636
A11.251.210.172.875;A11.251.210;34556636
A11.251.210.172.875;A11.251.210.172;34556636
A11.251.210.172.875;A11.251.210.172.875;34556636
A11.733.397.815;A11;34556636
A11.733.397.815;A11.733;34556636
A11.733.397.815;A11.733.397;34556636
A11.733.397.815;A11.733.397.815;34556636
A11.500;A11;34514571
A11.500;A11.500;34514571
A02.835.232.087.090.700;A02;34432294
A02.835.232.087.090.700;A02.835;34432294
A02.835.232.087.090.700;A02.835.232;34432294
A02.835.232.087.090.700;A02.835.232.087;34432294
A02.835.232.087.090.700;A02.835.232.087.090;34432294
A02.835.232.087.090.700;A02.835.232.087.090.700;34432294
A02.835.583.405.930;A02;34432294
A02.835.583.405.930;A02.835;34432294
A02.835.583.405.930;A02.835.583;34432294
A02.835.583.405.930;A02.835.583.405;34432294
A02.835.583.405.930;A02.835.583.405.930;34432294
A02.835.232.169;A02;34419622
A02.835.232.169;A02.835;34419622
A02.835.232.169;A02.835.232;34419622
A02.835.232.169;A02.835.232.169;34419622
A11.251.210.190;A11;34304386
A11.251.210.190;A11.251;34304386
A11.251.210.190;A11.251.210;34304386
A11.251.210.190;A11.251.210.190;34304386
A11.251.860.180;A11;34304386
A11.251.860.180;A11.251;34304386
A11.251.860.180;A11.251.860;34304386
A11.251.860.180;A11.251.860.180;34304386
A11.251.800;A11;34304386
A11.251.800;A11.251;34304386
A11.251.800;A11.251.800;34304386
A11.251.860;A11;34257609
