source;target;pmid
A01.941.875;A01;36075937
A01.941.875;A01.941;36075937
A01.941.875;A01.941.875;36075937
A02.835.232.043.150;A02;36075655
A02.835.232.043.150;A02.835;36075655
A02.835.232.043.150;A02.835.232;36075655
A02.835.232.043.150;A02.835.232.043;36075655
A02.835.232.043.150;A02.835.232.043.150;36075655
A02.835.232.043.650.883;A02;36075655
A02.835.232.043.650.883;A02.835;36075655
A02.835.232.043.650.883;A02.835.232;36075655
A02.835.232.043.650.883;A02.835.232.043;36075655
A02.835.232.043.650.883;A02.835.232.043.650;36075655
A02.835.232.043.650.883;A02.835.232.043.650.883;36075655
A11.251.210.190;A11;36071872
A11.251.210.190;A11.251;36071872
A11.251.210.190;A11.251.210;36071872
A11.251.210.190;A11.251.210.190;36071872
A11.251.860.180;A11;36071872
A11.251.860.180;A11.251;36071872
A11.251.860.180;A11.251.860;36071872
A11.251.860.180;A11.251.860.180;36071872
A11.872.650;A11;36071872
A11.872.650;A11.872;36071872
A11.872.650;A11.872.650;36071872
A11.872.650;A11;36059448
A11.872.650;A11.872;36059448
A11.872.650;A11.872.650;36059448
A02.835.232;A02;36057996
A02.835.232;A02.835;36057996
A02.835.232;A02.835.232;36057996
A10.165.265;A10;36057996
A10.165.265;A10.165;36057996
A10.165.265;A10.165.265;36057996
A11.251.210.190;A11;36057996
A11.251.210.190;A11.251;36057996
A11.251.210.190;A11.251.210;36057996
A11.251.210.190;A11.251.210.190;36057996
A11.251.860.180;A11;36057996
A11.251.860.180;A11.251;36057996
A11.251.860.180;A11.251.860;36057996
A11.251.860.180;A11.251.860.180;36057996
A11.284.295.310;A11;36057996
A11.284.295.310;A11.284;36057996
A11.284.295.310;A11.284.295;36057996
A11.284.295.310;A11.284.295.310;36057996
A11.251.210.190;A11;36053455
A11.251.210.190;A11.251;36053455
A11.251.210.190;A11.251.210;36053455
A11.251.210.190;A11.251.210.190;36053455
A11.251.860.180;A11;36053455
A11.251.860.180;A11.251;36053455
A11.251.860.180;A11.251.860;36053455
A11.251.860.180;A11.251.860.180;36053455
A07.541.358.100;A07;36052914
A07.541.358.100;A07.541;36052914
